cluster_id,cluster_size,original_index,selection_score,doc_id,title,url,date,source
0,731,174312,0.920602560043335,202101232140001095059,상가 건물 화재…인명 피해 없어,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=214&aid=0001095059,20210123,MBC
1,269,56420,0.8867786526679993,202302254210006651592,충남 금산 부리면서 산불 발생…현재 진화중,https://n.news.naver.com/mnews/article/421/0006651592?rc=N&ntype=RANKING,20230225,뉴스1
2,724,125767,0.9181440472602844,202203026290000135592,대구 북구 공장서 화재...진화중,https://news.naver.com/main/read.naver?mode=LPOD&mid=sec&oid=629&aid=0000135592,20220302,더팩트
3,814,39457,0.9503738880157471,202304110010013873784,화재 진압하는 소방대원들,https://n.news.naver.com/mnews/article/001/0013873784?rc=N&ntype=RANKING,20230411,연합뉴스
4,380,105954,0.9113343954086304,202204094220000536577,[날씨] 주말 완연한 봄…건조특보에 강풍 '산불 주의',https://news.naver.com/main/read.naver?mode=LPOD&mid=sec&oid=422&aid=0000536577,20220409,연합뉴스TV
5,154,35893,0.9397854804992676,202304180080004876576,"LS, 강릉 산불 피해복구에 성금 3억원 기탁",https://n.news.naver.com/mnews/article/008/0004876576?rc=N&ntype=RANKING,20230418,머니투데이
6,156,148547,0.9015508890151978,202108216290000101698,인천 다가구주택서 화재… 사망 1명·중상 2명,https://news.naver.com/main/read.naver?mode=LPOD&mid=sec&oid=629&aid=0000101698,20210821,더팩트
7,628,163192,0.8824754953384399,202104110010012320597,창원 아파트서 불…주민 10명 대피,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=001&aid=0012320597,20210411,연합뉴스
8,263,40022,0.9353781938552856,202304110520001871873,"[속보] 尹, 강릉 산불에 ""주민 신속대피·방화선 구축"" 지시",https://n.news.naver.com/mnews/article/052/0001871873?rc=N&ntype=RANKING,20230411,YTN
9,250,17289,0.9395030736923218,202308274210007011943,`산불 참사` 하와이 마우이섬서 또 산불로 일시 대피령,https://n.news.naver.com/mnews/article/421/0007011943,20230827,뉴스1
10,334,64438,0.8879191875457764,202301096610000018629,차량 화재...방화 혐의 30대 검거,https://n.news.naver.com/mnews/article/661/0000018629?rc=N&ntype=RANKING,20230109,JIBS
11,506,58131,0.9098079800605774,202302154210006633191,화천 군부대 인근서 산불…헬기 3대 투입 진화중,https://n.news.naver.com/mnews/article/421/0006633191?rc=N&ntype=RANKING,20230215,뉴스1
12,487,51035,0.9231492280960083,202303120020002278778,"북부지방산림청, 봄철 산불예방 행정력 총동원",https://n.news.naver.com/mnews/article/002/0002278778?rc=N&ntype=RANKING,20230312,프레시안
13,391,86679,0.9199544191360474,202208170050001546974,대구 한 주택서 불…80대 노인 숨져,https://n.news.naver.com/mnews/article/005/0001546974?rc=N&ntype=RANKING,20220817,국민일보
14,179,29549,0.8974111080169678,202305230520001888172,기와 주택에서 불...50대 거주자 2도 화상,https://n.news.naver.com/mnews/article/052/0001888172,20230523,YTN
15,394,44425,0.8948425650596619,202304020210002564514,"불 또 불, 전국서 동시다발 발생…소방청, 긴급중앙통제단 가동",https://n.news.naver.com/mnews/article/021/0002564514?rc=N&ntype=RANKING,20230402,문화일보
16,595,129768,0.8721054792404175,202202110760003831155,"봄배구 희망 살렸다…삼성화재, 우리카드 제압 '4위 도약' [V리그 리뷰]",https://sports.news.naver.com/news?oid=076&aid=0003831155,20220211,스포츠조선
17,80,5256,0.892375111579895,202311290280002666721,안성 칠장사 화재…스님 추정 1명 숨진 채 발견,https://n.news.naver.com/mnews/article/028/0002666721,20231129,한겨레
18,372,1804,0.9487757682800293,202312230150004928628,[속보] 포스코 포항제철소서 화재…공장 가동 중단,https://n.news.naver.com/mnews/article/015/0004928628,20231223,한국경제
19,621,160445,0.9324055910110474,202104300030010475106,부산 주택 화재…1명 사망·1명 연기흡입,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=003&aid=0010475106,20210430,뉴시스
20,142,17589,0.9080117344856262,202308254210007010362,화성 자원순환시설 화재…서해고속도 향남졸음쉼터 양방향 2km 통제(상보),https://n.news.naver.com/mnews/article/421/0007010362,20230825,뉴스1
21,734,124923,0.9098647832870483,202203040010013029678,연기 내뿜는 산불,https://news.naver.com/main/read.naver?mode=LPOD&mid=sec&oid=001&aid=0013029678,20220304,연합뉴스
22,868,148068,0.931848406791687,202108270030010687704,"""산불 번짐을 막아라""",https://news.naver.com/main/read.naver?mode=LPOD&mid=sec&oid=003&aid=0010687704,20210827,뉴시스
23,955,103011,0.9539022445678711,202204190560011251098,[날씨] 강원 전역 건조주의보·동해안 강풍…화재 주의!,https://news.naver.com/main/read.naver?mode=LPOD&mid=sec&oid=056&aid=0011251098,20220419,KBS
24,390,69749,0.8997783660888672,202212126290000189604,"[인사] 삼성화재, 신임 부사장에 구영민·김준하·최재봉",https://n.news.naver.com/mnews/article/629/0000189604?rc=N&ntype=RANKING,20221212,더팩트
25,356,176460,0.8351908922195435,202101060810003153625,ESS(에너지 저장장치) 화재 차단 기술 개발,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=081&aid=0003153625,20210106,서울신문
26,436,40050,0.9167750477790833,202304110010013872301,강릉서 산불…대피한 주민들,https://n.news.naver.com/mnews/article/001/0013872301?rc=N&ntype=RANKING,20230411,연합뉴스
27,503,42671,0.916092038154602,202304040520001868894,'산불 대응 3단계' 홍성·금산·대전 산불...사흘째 진화 작업 중,https://n.news.naver.com/mnews/article/052/0001868894?rc=N&ntype=RANKING,20230404,YTN
28,326,50871,0.9369393587112427,202303136290000205380,대전 한국타이어 공장에서 화재 발생 [포토],https://n.news.naver.com/mnews/article/629/0000205380?rc=N&ntype=RANKING,20230313,더팩트
29,422,93568,0.8980555534362793,202206146590000003442,폐목재 가공 공장 불.. 6시간 지나 진화,https://n.news.naver.com/mnews/article/659/0000003442?rc=N&ntype=RANKING,20220614,전주MBC
30,615,104186,0.9131057262420654,202204130560011247246,곳곳서 산불 잇따라…대형산불 주의보 4월 집중,https://news.naver.com/main/read.naver?mode=LPOD&mid=sec&oid=056&aid=0011247246,20220413,KBS
31,675,67095,0.9046286344528198,202212290010013670969,과천 제2경인고속도로 방음터널 화재,https://n.news.naver.com/mnews/article/001/0013670969?rc=N&ntype=RANKING,20221229,연합뉴스
32,689,94293,0.854790449142456,202206090220003703662,"[속보] 대구 변호사 사무실 빌딩서 화재…소방 당국 ""7명 사망 추정""",https://n.news.naver.com/mnews/article/022/0003703662?rc=N&ntype=RANKING,20220609,세계일보
33,1308,170119,0.913425087928772,202102222140001101348,곳곳 산불…건조날씨에 전국적으로 발생,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=214&aid=0001101348,20210222,MBC
34,315,86906,0.9256867170333862,202208140570001683547,부산 한 아파트서 불…주민 30여 명 대피,https://n.news.naver.com/mnews/article/057/0001683547?rc=N&ntype=RANKING,20220814,MBN
35,283,141045,0.8612221479415894,202111194370000281313,"거제 폐기물 처리공장에서 화재, 12시간 만에 진화",https://news.naver.com/main/read.naver?mode=LPOD&mid=sec&oid=437&aid=0000281313,20211119,JTBC
36,251,27555,0.9263742566108704,202306080520001894826,"캐나다, 산불 피해 `심각`",https://n.news.naver.com/mnews/article/052/0001894826,20230608,YTN
37,527,50846,0.9193757176399231,202303130030011738133,"""화재 예방""…서울 전통시장 소방 시설 전수 조사",https://n.news.naver.com/mnews/article/003/0011738133?rc=N&ntype=RANKING,20230313,뉴시스
38,202,36308,0.9372298717498779,202304170160002131343,"한화그룹, 강릉 산불에 피해복구 성금 10억원 기탁",https://n.news.naver.com/mnews/article/016/0002131343?rc=N&ntype=RANKING,20230417,헤럴드경제
39,1094,133801,0.9367738962173462,202201156610000000177,다가구 주택 화재..인명피해 없어,https://news.naver.com/main/read.naver?mode=LPOD&mid=sec&oid=661&aid=0000000177,20220115,JIBS
40,284,166417,0.8374149799346924,202103180090004765341,화재 피해 주민 숙박비 지원 지자체 잇따라,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=009&aid=0004765341,20210318,매일경제
41,323,51563,0.9230203628540039,202303110180005440546,"부모와 말다툼하다 집에 불낸 40대 아들, 범행 이유가…",https://n.news.naver.com/mnews/article/018/0005440546?rc=N&ntype=RANKING,20230311,이데일리
42,360,94749,0.8853959441184998,202206054480000362227,남양주 야산서 산불…3시간여만에 진화,https://n.news.naver.com/mnews/article/448/0000362227?rc=N&ntype=RANKING,20220605,TV조선
43,597,57134,0.8712592124938965,202302224170000897683,'최대실적' 갈아치운 삼성화재… 생명 넘어 '보험 1위' 넘본다,https://n.news.naver.com/mnews/article/417/0000897683?rc=N&ntype=RANKING,20230222,머니S
44,330,105376,0.856572687625885,202204110870000890699,[포토뉴스]강원우정청 산불이재민 물품 지원,https://news.naver.com/main/read.naver?mode=LPOD&mid=sec&oid=087&aid=0000890699,20220411,강원일보
45,488,158247,0.902268648147583,202105240560011049256,주택 화재…2천만 원 재산피해,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=056&aid=0011049256,20210524,KBS
46,176,130195,0.913841724395752,202202100010012972395,예산 양돈장서 화재…돼지 800마리 폐사,https://news.naver.com/main/read.naver?mode=LPOD&mid=sec&oid=001&aid=0012972395,20220210,연합뉴스
47,204,73415,0.8791561126708984,202211162150001066107,대구 LPG 충전소 폭발 추정 화재 발생…8명 부상,https://n.news.naver.com/mnews/article/215/0001066107?rc=N&ntype=RANKING,20221116,한국경제TV
48,477,52293,0.9070696830749512,202303094220000587748,"합천 산불 진화율 90% 넘어…""오전 중 주불 잡을 듯""",https://n.news.naver.com/mnews/article/422/0000587748?rc=N&ntype=RANKING,20230309,연합뉴스TV
49,456,127602,0.8232893943786621,202202230030011021251,부안 한 상가 건물서 불…1억5000여만원 피해,https://news.naver.com/main/read.naver?mode=LPOD&mid=sec&oid=003&aid=0011021251,20220223,뉴시스
50,116,723,0.9214608669281006,202312270560011630190,서울 도봉구 아파트 화재 “부주의 가능성”…담배·라이터 발견,https://n.news.naver.com/mnews/article/056/0011630190,20231227,KBS
51,1004,20609,0.9155535697937012,202308080010014118918,창원 제조공장서 불…3천만원 재산 피해,https://n.news.naver.com/mnews/article/001/0014118918,20230808,연합뉴스
52,512,54915,0.8831223249435425,202303030560011438660,[날씨] 화재 주의하세요!,https://n.news.naver.com/mnews/article/056/0011438660?rc=N&ntype=RANKING,20230303,KBS
53,769,59337,0.9101061820983887,202302070550001033734,합천 야산서 산불…인명피해 없어,https://n.news.naver.com/mnews/article/055/0001033734?rc=N&ntype=RANKING,20230207,SBS
54,606,3986,0.9016105532646179,202312050550001111790,"창원 상가 건물서 불, 2명 연기 흡입…지하층 발화 추정",https://n.news.naver.com/mnews/article/055/0001111790,20231205,SBS
55,446,2368,0.8630950450897217,202312196660000028907,인천 호텔 화재 후문 필로티 주차장 천장서 시작…‘전기적 요인’ 추정,https://n.news.naver.com/mnews/article/666/0000028907,20231219,경기일보
56,533,121519,0.8617854118347168,202203060090004930873,[알립니다] 산불 이재민에 따뜻한 마음 전하세요,https://news.naver.com/main/read.naver?mode=LPOD&mid=sec&oid=009&aid=0004930873,20220306,매일경제
57,370,41844,0.8853986859321594,202304046620000017478,전국 산불 진화 완료…산림 3091㏊ 불탔다,https://n.news.naver.com/mnews/article/662/0000017478?rc=N&ntype=RANKING,20230404,농민신문
58,312,96495,0.9148696064949036,202205296610000007603,컨테이너 창고 화재...20여분에 진화,https://n.news.naver.com/mnews/article/661/0000007603?rc=N&ntype=RANKING,20220529,JIBS
59,555,63858,0.9218024611473083,202301130560011410015,창원 아파트 화재…20여 명 대피,https://n.news.naver.com/mnews/article/056/0011410015?rc=N&ntype=RANKING,20230113,KBS
60,1204,145331,0.9160097241401672,202110050560011131388,"강원 시군, 가을철 산불 예방 대책 추진",https://news.naver.com/main/read.naver?mode=LPOD&mid=sec&oid=056&aid=0011131388,20211005,KBS
61,1028,40116,0.9307436347007751,202304110010013872085,강릉서 산불…피해 확산,https://n.news.naver.com/mnews/article/001/0013872085?rc=N&ntype=RANKING,20230411,연합뉴스
62,150,137076,0.9252214431762695,202112310790003591889,광양 한 주택에서 화재…90대 어르신 숨져,https://news.naver.com/main/read.naver?mode=LPOD&mid=sec&oid=079&aid=0003591889,20211231,노컷뉴스
63,109,137108,0.937360405921936,202112304220000521135,집 비운사이 인덕션 '꾹꾹'…고양이가 낸 화재 급증,https://news.naver.com/main/read.naver?mode=LPOD&mid=sec&oid=422&aid=0000521135,20211230,연합뉴스TV
64,100,44760,0.9382643699645996,202304020320003214689,[속보] 인왕산 산불···소방당국 ‘대응 2단계’ 진화 중,https://n.news.naver.com/mnews/article/032/0003214689?rc=N&ntype=RANKING,20230402,경향신문
65,236,27057,0.8703703284263611,202306120030011908661,`금융 전산센터 화재 예방위해` 금감원-소방청 업무협약,https://n.news.naver.com/mnews/article/003/0011908661,20230612,뉴시스
66,36,18994,0.8738607168197632,202308170570001762826,"""불길 피하려다가""...하와이 산불로 3대 일가족 4명 숨져",https://n.news.naver.com/mnews/article/057/0001762826,20230817,MBN
67,691,100876,0.8698121309280396,202204300560011258308,성주 목재 폐기물 공장 화재…9시간여 만에 진화,https://n.news.naver.com/mnews/article/056/0011258308?rc=N&ntype=RANKING,20220430,KBS
68,123,44912,0.9167189598083496,202304016600000031488,차량정비소 화재로 차량ㆍ시설 피해..1시간 만에 진화,https://n.news.naver.com/mnews/article/660/0000031488?rc=N&ntype=RANKING,20230401,kbc광주방송
69,1691,14902,0.9276983141899109,202309180030012095437,김포 건축자재 공장서 불…인명피해 없어,https://n.news.naver.com/mnews/article/003/0012095437,20230918,뉴시스
70,54,46679,0.9461333155632019,202303273100000105305,안산 다세대 주택 불…나이지리아 어린이 4남매 숨져,https://n.news.naver.com/mnews/article/310/0000105305?rc=N&ntype=RANKING,20230327,여성신문
71,41,15254,0.9413214921951294,202309140030012089463,"하노이 아파트서 화재, 최소 56명 사망",https://n.news.naver.com/mnews/article/003/0012089463,20230914,뉴시스
72,855,110429,0.8682749271392822,202203232140001185947,경기 남양주 물류창고서 불‥화재 진압 중,https://news.naver.com/main/read.naver?mode=LPOD&mid=sec&oid=214&aid=0001185947,20220323,MBC
73,631,118562,0.9233118295669556,202203080110004027162,"KT&G, 동해안 산불 피해 지역에 성금 5억 원 기부",https://news.naver.com/main/read.naver?mode=LPOD&mid=sec&oid=011&aid=0004027162,20220308,서울경제
74,155,11486,0.9319101572036743,202310184220000624520,`고성 산불 책임` 한전 직원들 대법서 무죄 확정,https://n.news.naver.com/mnews/article/422/0000624520,20231018,연합뉴스TV
75,547,7717,0.9343273639678955,202311140080004961464,"충전 중인 전기차서 화재…""배터리 발열 화재로 추정""",https://n.news.naver.com/mnews/article/008/0004961464,20231114,머니투데이
76,513,60527,0.9147655963897705,202302014210006607153,울주군 야산에서 불…1시간 만에 진화,https://n.news.naver.com/mnews/article/421/0006607153?rc=N&ntype=RANKING,20230201,뉴스1
77,931,100821,0.9218969345092773,202205010820001153482,촛불봉사단 동해안 산불 피해 지원 성금 전달,https://n.news.naver.com/mnews/article/082/0001153482?rc=N&ntype=RANKING,20220501,부산일보
78,221,141250,0.8377937078475952,202111180110003986604,"2m 앞 아기 두고···불 나자 홀로 대피한 엄마, 법원 판단은",https://news.naver.com/main/read.naver?mode=LPOD&mid=sec&oid=011&aid=0003986604,20211118,서울경제
79,116,46818,0.919024646282196,202303260180005449830,인천 강화도 마니산 산불 야간 진화 체제 돌입,https://n.news.naver.com/mnews/article/018/0005449830?rc=N&ntype=RANKING,20230326,이데일리
80,373,69466,0.7759877443313599,202212142770005191702,'순천 문화재 야행' 등 지역문화재 활용 명예의 전당,https://n.news.naver.com/mnews/article/277/0005191702?rc=N&ntype=RANKING,20221214,아시아경제
81,132,35034,0.93873131275177,202304210560011470092,울산 앞바다서 러시아 국적 어선 화재…4명 실종·21명 구조,https://n.news.naver.com/mnews/article/056/0011470092?rc=N&ntype=RANKING,20230421,KBS
82,473,86244,0.89371657371521,202208210520001779262,상가 건물 화재로 100여 명 대피...차량 화재 잇따라,https://n.news.naver.com/mnews/article/052/0001779262?rc=N&ntype=RANKING,20220821,YTN
83,672,23367,0.8862943649291992,202307134210006924607,"경기소방, 노후 아파트 등에 화재 신속대피 안내 물품 보급",https://n.news.naver.com/mnews/article/421/0006924607,20230713,뉴스1
84,940,171601,0.9075974225997925,202102160820001067860,고속도로 무척산터널서 화물차 화재...차량 통제,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=082&aid=0001067860,20210216,부산일보
85,438,43311,0.8988940715789795,202304036600000031577,도심 상가건물 방화 추정 화재..6명 연기 흡입 이송,https://n.news.naver.com/mnews/article/660/0000031577?rc=N&ntype=RANKING,20230403,kbc광주방송
86,658,44592,0.9146147966384888,202304022770005239726,"[속보]尹 ""전국 산불, 산림·소방청 중심 가용 총동원해 진화·예방"" 지시",https://n.news.naver.com/mnews/article/277/0005239726?rc=N&ntype=RANKING,20230402,아시아경제
87,742,88691,0.8965131044387817,202208020570001680971,부산 아파트서 불…주민 대피 소동,https://n.news.naver.com/mnews/article/057/0001680971?rc=N&ntype=RANKING,20220802,MBN
88,238,40930,0.9207097291946411,202304070220003800489,‘산불 나는데 골프·술자리’ 보도에 김진태 강원지사 “법적 조치”,https://n.news.naver.com/mnews/article/022/0003800489?rc=N&ntype=RANKING,20230407,세계일보
89,218,30995,0.8478821516036987,202305126290000216550,"메리츠화재, 1분기 순이익 4047억 원…전년比 24.5%↑",https://n.news.naver.com/mnews/article/629/0000216550,20230512,더팩트
90,83,21732,0.9529789090156555,202307280790003796408,서울 잠실 롯데백화점에서 화재…이용객 1천여 명 대피,https://n.news.naver.com/mnews/article/079/0003796408,20230728,노컷뉴스
91,78,5120,0.9656903147697449,202311300090005222897,"경찰, ‘자승스님 입적’ 칠장사 화재 현장 합동 감식",https://n.news.naver.com/mnews/article/009/0005222897,20231130,매일경제
92,230,37308,0.8811823129653931,202304140520001873204,충남 서천 양계장에 불...닭 6만 9천여 마리 폐사,https://n.news.naver.com/mnews/article/052/0001873204?rc=N&ntype=RANKING,20230414,YTN
93,201,31829,0.9165338277816772,202305086610000024743,양계장 화재...닭 1만여 마리  폐사,https://n.news.naver.com/mnews/article/661/0000024743,20230508,JIBS
94,284,19185,0.9132449626922607,202308160550001081877,[속보] 하와이 `산불 참사` 사망자 100명 넘어 ＜로이터＞,https://n.news.naver.com/mnews/article/055/0001081877,20230816,SBS
